A,B,C,D,E,F,G,H,I,class_label
55.0,-1.0,95.0,0.0,34.0,0.0,40.0,62.0,22.0,3.0
56.0,0.0,96.0,0.0,44.0,9.0,40.0,52.0,12.0,3.0
56.0,0.0,98.0,0.0,52.0,1.0,42.0,46.0,4.0,3.0
56.0,0.0,92.0,0.0,-2.0,-3.0,36.0,95.0,58.0,3.0
55.0,0.0,79.0,-1.0,24.0,-3.0,23.0,55.0,32.0,3.0
55.0,-1.0,98.0,0.0,50.0,-19.0,42.0,49.0,6.0,3.0
56.0,0.0,91.0,0.0,-4.0,-9.0,35.0,96.0,62.0,3.0
55.0,0.0,79.0,0.0,12.0,11.0,23.0,66.0,42.0,3.0
55.0,0.0,71.0,-3.0,0.0,0.0,16.0,71.0,56.0,3.0
55.0,0.0,82.0,6.0,-14.0,2.0,26.0,97.0,70.0,3.0
56.0,0.0,97.0,8.0,36.0,0.0,41.0,60.0,20.0,3.0
55.0,0.0,82.0,0.0,-40.0,-18.0,26.0,123.0,96.0,3.0
56.0,0.0,97.0,8.0,50.0,-5.0,41.0,48.0,6.0,3.0
56.0,0.0,78.0,-2.0,26.0,-3.0,22.0,52.0,30.0,3.0
56.0,5.0,95.0,-2.0,42.0,0.0,39.0,54.0,14.0,3.0
55.0,0.0,96.0,0.0,42.0,10.0,41.0,55.0,14.0,3.0
56.0,0.0,79.0,0.0,6.0,-15.0,24.0,74.0,50.0,3.0
56.0,0.0,95.0,0.0,44.0,10.0,40.0,51.0,12.0,3.0
55.0,0.0,77.0,0.0,28.0,4.0,21.0,48.0,28.0,3.0
55.0,2.0,95.0,-4.0,50.0,0.0,40.0,46.0,6.0,3.0
56.0,0.0,95.0,0.0,46.0,23.0,40.0,49.0,10.0,3.0
55.0,0.0,92.0,-4.0,46.0,0.0,36.0,45.0,8.0,3.0
56.0,3.0,95.0,0.0,46.0,3.0,39.0,49.0,10.0,3.0
55.0,0.0,82.0,0.0,-20.0,0.0,26.0,103.0,76.0,3.0
56.0,2.0,97.0,0.0,50.0,0.0,41.0,48.0,6.0,3.0
55.0,0.0,79.0,0.0,6.0,8.0,23.0,74.0,50.0,3.0
55.0,0.0,79.0,0.0,8.0,-6.0,23.0,71.0,48.0,3.0
56.0,3.0,94.0,0.0,50.0,0.0,38.0,45.0,6.0,3.0
56.0,0.0,92.0,-7.0,50.0,1.0,36.0,42.0,6.0,3.0
56.0,-2.0,78.0,-8.0,44.0,10.0,22.0,34.0,12.0,3.0
55.0,0.0,96.0,0.0,52.0,-19.0,41.0,44.0,4.0,3.0
56.0,0.0,97.0,4.0,52.0,18.0,41.0,46.0,4.0,3.0
56.0,0.0,79.0,2.0,-4.0,0.0,24.0,85.0,62.0,3.0
55.0,0.0,82.0,-1.0,-32.0,-8.0,26.0,115.0,90.0,3.0
56.0,0.0,77.0,0.0,-20.0,11.0,21.0,97.0,76.0,3.0
56.0,0.0,78.0,0.0,44.0,26.0,22.0,34.0,12.0,3.0
47.0,33.0,77.0,0.0,28.0,0.0,30.0,48.0,18.0,1.0
55.0,0.0,77.0,0.0,2.0,11.0,22.0,75.0,52.0,3.0
56.0,0.0,95.0,0.0,50.0,-17.0,40.0,46.0,6.0,3.0
56.0,-2.0,78.0,-6.0,42.0,-22.0,22.0,37.0,14.0,3.0
55.0,0.0,78.0,0.0,6.0,-25.0,23.0,73.0,50.0,3.0
56.0,0.0,96.0,3.0,50.0,0.0,40.0,47.0,6.0,3.0
55.0,0.0,80.0,0.0,-4.0,9.0,25.0,85.0,60.0,3.0
56.0,0.0,98.0,0.0,50.0,-16.0,42.0,49.0,8.0,3.0
55.0,0.0,77.0,0.0,24.0,0.0,22.0,54.0,32.0,3.0
55.0,0.0,77.0,0.0,36.0,-23.0,22.0,41.0,20.0,3.0
55.0,0.0,77.0,0.0,34.0,-1.0,22.0,44.0,22.0,3.0
55.0,0.0,96.0,1.0,42.0,-5.0,41.0,55.0,14.0,3.0
56.0,0.0,81.0,0.0,-10.0,-13.0,25.0,91.0,66.0,3.0
56.0,1.0,97.0,0.0,50.0,0.0,41.0,48.0,8.0,3.0
56.0,2.0,95.0,0.0,52.0,0.0,40.0,44.0,4.0,3.0
55.0,0.0,77.0,0.0,18.0,-4.0,22.0,59.0,38.0,3.0
56.0,0.0,97.0,0.0,44.0,0.0,41.0,53.0,12.0,3.0
56.0,2.0,93.0,0.0,46.0,0.0,37.0,46.0,10.0,3.0
55.0,0.0,77.0,-1.0,28.0,25.0,21.0,48.0,28.0,3.0
55.0,0.0,78.0,6.0,46.0,0.0,23.0,32.0,8.0,3.0
56.0,0.0,95.0,-5.0,52.0,0.0,40.0,44.0,4.0,3.0
56.0,0.0,97.0,4.0,50.0,-16.0,41.0,48.0,6.0,3.0
56.0,9.0,72.0,9.0,0.0,0.0,16.0,72.0,56.0,3.0
55.0,0.0,78.0,0.0,6.0,16.0,23.0,73.0,50.0,3.0
55.0,0.0,78.0,-1.0,8.0,-3.0,23.0,70.0,48.0,3.0
55.0,-4.0,77.0,-1.0,16.0,0.0,22.0,62.0,40.0,3.0
56.0,0.0,97.0,8.0,46.0,0.0,41.0,51.0,10.0,3.0
56.0,0.0,96.0,0.0,42.0,-29.0,40.0,55.0,14.0,3.0
56.0,0.0,97.0,1.0,50.0,-4.0,41.0,48.0,6.0,3.0
55.0,0.0,95.0,2.0,36.0,-15.0,40.0,59.0,20.0,3.0
55.0,0.0,96.0,3.0,42.0,6.0,41.0,55.0,14.0,3.0
56.0,0.0,78.0,1.0,8.0,-18.0,22.0,70.0,48.0,3.0
55.0,-1.0,98.0,0.0,52.0,2.0,42.0,46.0,4.0,3.0
56.0,0.0,97.0,0.0,52.0,-23.0,41.0,46.0,4.0,3.0
55.0,-1.0,77.0,0.0,28.0,13.0,22.0,49.0,26.0,3.0
55.0,3.0,77.0,0.0,-22.0,0.0,23.0,101.0,78.0,3.0
55.0,-2.0,78.0,0.0,10.0,0.0,23.0,68.0,46.0,3.0
56.0,0.0,98.0,1.0,50.0,0.0,42.0,49.0,8.0,3.0
56.0,0.0,96.0,5.0,34.0,0.0,40.0,62.0,22.0,3.0
55.0,0.0,96.0,2.0,52.0,-2.0,41.0,44.0,4.0,3.0
55.0,0.0,93.0,0.0,38.0,-2.0,37.0,54.0,16.0,3.0
55.0,0.0,77.0,0.0,42.0,-5.0,22.0,36.0,14.0,3.0
56.0,4.0,98.0,0.0,42.0,-13.0,42.0,57.0,14.0,3.0
55.0,0.0,95.0,0.0,50.0,-14.0,40.0,46.0,6.0,3.0
56.0,0.0,79.0,-1.0,6.0,-15.0,24.0,74.0,50.0,3.0
56.0,5.0,97.0,0.0,44.0,-5.0,41.0,53.0,12.0,3.0
56.0,0.0,77.0,0.0,20.0,-5.0,22.0,57.0,36.0,3.0
56.0,1.0,99.0,0.0,46.0,-5.0,42.0,52.0,10.0,3.0
56.0,0.0,97.0,-5.0,46.0,0.0,41.0,51.0,10.0,3.0
55.0,0.0,98.0,0.0,50.0,0.0,42.0,49.0,6.0,3.0
55.0,-1.0,77.0,-4.0,-4.0,31.0,21.0,82.0,60.0,3.0
56.0,0.0,82.0,0.0,-12.0,2.0,26.0,95.0,68.0,3.0
56.0,-4.0,98.0,0.0,52.0,0.0,42.0,46.0,4.0,3.0
56.0,0.0,96.0,2.0,44.0,0.0,40.0,52.0,12.0,3.0
55.0,-4.0,81.0,0.0,-10.0,-19.0,25.0,91.0,66.0,3.0
55.0,0.0,78.0,1.0,18.0,9.0,23.0,60.0,38.0,3.0
56.0,0.0,81.0,0.0,-10.0,4.0,25.0,92.0,66.0,3.0
55.0,-1.0,97.0,0.0,46.0,-6.0,42.0,51.0,8.0,3.0
56.0,0.0,97.0,0.0,38.0,26.0,41.0,58.0,18.0,3.0
55.0,0.0,82.0,0.0,-24.0,-6.0,26.0,108.0,82.0,3.0
56.0,2.0,98.0,1.0,46.0,0.0,42.0,51.0,10.0,3.0
55.0,0.0,77.0,0.0,-12.0,-17.0,21.0,90.0,68.0,3.0
55.0,0.0,77.0,0.0,-24.0,3.0,21.0,103.0,82.0,3.0
56.0,0.0,92.0,0.0,46.0,-19.0,36.0,46.0,10.0,3.0
56.0,-1.0,97.0,6.0,52.0,-1.0,41.0,45.0,4.0,3.0
56.0,0.0,80.0,0.0,8.0,31.0,24.0,72.0,48.0,3.0
55.0,0.0,77.0,0.0,-10.0,-7.0,21.0,87.0,66.0,3.0
55.0,0.0,82.0,0.0,-22.0,-8.0,26.0,105.0,78.0,3.0
55.0,-3.0,77.0,0.0,0.0,0.0,22.0,77.0,56.0,3.0
56.0,4.0,97.0,0.0,38.0,31.0,40.0,58.0,18.0,3.0
56.0,0.0,97.0,5.0,52.0,31.0,41.0,45.0,4.0,3.0
55.0,0.0,95.0,0.0,46.0,27.0,40.0,49.0,8.0,3.0
55.0,0.0,78.0,0.0,44.0,-14.0,23.0,34.0,12.0,3.0
56.0,0.0,77.0,3.0,0.0,4.0,22.0,77.0,56.0,3.0
56.0,0.0,95.0,-1.0,44.0,9.0,40.0,51.0,12.0,3.0
55.0,-2.0,79.0,0.0,16.0,0.0,23.0,63.0,40.0,3.0
56.0,0.0,95.0,0.0,44.0,14.0,40.0,51.0,12.0,3.0
55.0,0.0,82.0,0.0,-40.0,-21.0,26.0,123.0,96.0,3.0
56.0,0.0,77.0,3.0,0.0,0.0,22.0,77.0,56.0,3.0
56.0,0.0,81.0,0.0,-4.0,31.0,25.0,86.0,62.0,3.0
54.0,2.0,77.0,0.0,28.0,0.0,23.0,48.0,26.0,3.0
55.0,0.0,96.0,0.0,50.0,-26.0,41.0,47.0,6.0,3.0
56.0,0.0,95.0,0.0,44.0,-9.0,40.0,51.0,12.0,3.0
56.0,0.0,95.0,-6.0,44.0,0.0,39.0,51.0,12.0,3.0
55.0,0.0,77.0,-4.0,8.0,-21.0,22.0,70.0,48.0,3.0
55.0,0.0,78.0,-7.0,16.0,0.0,23.0,63.0,40.0,3.0
55.0,0.0,77.0,0.0,36.0,-28.0,22.0,41.0,20.0,3.0
56.0,0.0,77.0,0.0,16.0,-16.0,22.0,62.0,40.0,3.0
56.0,0.0,79.0,0.0,26.0,0.0,23.0,53.0,30.0,3.0
55.0,-2.0,98.0,2.0,50.0,8.0,42.0,49.0,6.0,3.0
56.0,0.0,93.0,2.0,46.0,0.0,37.0,46.0,10.0,3.0
55.0,0.0,93.0,0.0,0.0,-6.0,38.0,93.0,56.0,3.0
56.0,0.0,79.0,0.0,0.0,17.0,24.0,79.0,56.0,3.0
55.0,0.0,79.0,0.0,18.0,-1.0,23.0,61.0,38.0,3.0
55.0,0.0,96.0,0.0,46.0,24.0,41.0,50.0,8.0,3.0
56.0,0.0,96.0,0.0,42.0,6.0,40.0,55.0,14.0,3.0
56.0,0.0,95.0,0.0,52.0,6.0,39.0,43.0,4.0,3.0
55.0,0.0,77.0,0.0,38.0,0.0,22.0,39.0,16.0,3.0
55.0,0.0,95.0,0.0,42.0,-3.0,40.0,54.0,14.0,3.0
56.0,0.0,95.0,2.0,50.0,0.0,40.0,46.0,6.0,3.0
56.0,0.0,77.0,-3.0,24.0,-2.0,22.0,54.0,32.0,3.0
55.0,0.0,77.0,4.0,30.0,21.0,22.0,46.0,24.0,3.0
55.0,-5.0,77.0,0.0,34.0,0.0,22.0,44.0,22.0,3.0
56.0,0.0,96.0,-4.0,50.0,-7.0,40.0,47.0,6.0,3.0
55.0,0.0,79.0,0.0,16.0,-24.0,23.0,63.0,40.0,3.0
55.0,0.0,82.0,0.0,-42.0,-22.0,26.0,126.0,100.0,3.0
55.0,-2.0,76.0,0.0,-18.0,-1.0,21.0,94.0,74.0,3.0
56.0,0.0,96.0,0.0,52.0,-7.0,40.0,44.0,4.0,3.0
55.0,0.0,77.0,0.0,28.0,2.0,21.0,48.0,28.0,3.0
55.0,0.0,93.0,-7.0,46.0,-24.0,37.0,46.0,8.0,3.0
55.0,0.0,78.0,-2.0,8.0,1.0,23.0,70.0,48.0,3.0
37.0,-1369.0,106.0,-1.0,34.0,-2.0,69.0,72.0,4.0,6.0
56.0,0.0,98.0,0.0,44.0,1.0,42.0,54.0,12.0,3.0
55.0,0.0,97.0,0.0,38.0,-30.0,42.0,59.0,16.0,3.0
56.0,0.0,98.0,-3.0,46.0,0.0,42.0,51.0,10.0,3.0
42.0,-25.0,77.0,0.0,-2.0,0.0,35.0,79.0,44.0,2.0
55.0,0.0,96.0,0.0,50.0,23.0,41.0,47.0,6.0,3.0
81.0,2.0,83.0,-8.0,-6.0,-968.0,3.0,91.0,88.0,4.0
54.0,7.0,77.0,0.0,-22.0,0.0,23.0,101.0,78.0,3.0
55.0,0.0,81.0,6.0,-10.0,0.0,25.0,91.0,66.0,3.0
55.0,-1.0,77.0,0.0,10.0,-4.0,22.0,67.0,46.0,3.0
56.0,0.0,77.0,0.0,16.0,-6.0,22.0,62.0,40.0,3.0
56.0,0.0,95.0,-7.0,38.0,-4.0,40.0,57.0,18.0,3.0
55.0,0.0,77.0,-7.0,10.0,9.0,22.0,67.0,46.0,3.0
55.0,0.0,77.0,-1.0,44.0,0.0,22.0,34.0,12.0,3.0
56.0,2.0,79.0,-2.0,-4.0,0.0,24.0,85.0,62.0,3.0
56.0,-1.0,77.0,5.0,0.0,0.0,21.0,77.0,56.0,3.0
56.0,-1.0,97.0,0.0,36.0,-28.0,41.0,60.0,20.0,3.0
56.0,0.0,78.0,8.0,12.0,0.0,22.0,65.0,42.0,3.0
55.0,2.0,96.0,6.0,50.0,0.0,41.0,47.0,6.0,3.0
55.0,0.0,92.0,-3.0,38.0,18.0,37.0,53.0,16.0,3.0
55.0,0.0,95.0,-1.0,42.0,7.0,40.0,54.0,14.0,3.0
56.0,-1.0,97.0,-2.0,50.0,-3.0,41.0,48.0,6.0,3.0
56.0,0.0,95.0,2.0,44.0,4.0,40.0,51.0,12.0,3.0
55.0,0.0,79.0,0.0,16.0,-12.0,23.0,63.0,40.0,3.0
79.0,-1.0,83.0,-8.0,436.0,1822.0,4.0,-353.0,-356.0,4.0
56.0,0.0,78.0,0.0,8.0,21.0,22.0,70.0,48.0,3.0
55.0,-1.0,99.0,3.0,50.0,0.0,44.0,50.0,6.0,3.0
56.0,0.0,92.0,0.0,52.0,26.0,36.0,40.0,4.0,3.0
56.0,0.0,97.0,1.0,52.0,0.0,41.0,45.0,4.0,3.0
55.0,0.0,79.0,0.0,12.0,24.0,23.0,66.0,42.0,3.0
55.0,0.0,92.0,-3.0,46.0,0.0,37.0,46.0,8.0,3.0
55.0,-4.0,81.0,0.0,-6.0,6.0,25.0,88.0,64.0,3.0
55.0,0.0,91.0,-3.0,-4.0,8.0,35.0,96.0,60.0,3.0
56.0,4.0,98.0,0.0,52.0,1.0,42.0,46.0,4.0,3.0
56.0,0.0,77.0,0.0,-6.0,13.0,21.0,85.0,64.0,3.0
56.0,0.0,81.0,0.0,-14.0,19.0,25.0,97.0,72.0,3.0
56.0,0.0,81.0,0.0,-6.0,-30.0,25.0,88.0,64.0,3.0
56.0,2.0,77.0,0.0,10.0,6.0,22.0,67.0,46.0,3.0
55.0,0.0,96.0,7.0,42.0,3.0,41.0,55.0,14.0,3.0
55.0,0.0,78.0,0.0,10.0,-26.0,23.0,68.0,46.0,3.0
55.0,0.0,95.0,0.0,36.0,24.0,40.0,59.0,20.0,3.0
55.0,-5.0,74.0,-8.0,-2.0,22.0,18.0,76.0,58.0,3.0
55.0,0.0,96.0,0.0,42.0,23.0,41.0,55.0,14.0,3.0
56.0,0.0,99.0,1.0,50.0,0.0,43.0,50.0,6.0,3.0
56.0,0.0,77.0,0.0,-22.0,5.0,21.0,100.0,80.0,3.0
56.0,0.0,77.0,0.0,-6.0,0.0,21.0,85.0,64.0,3.0
55.0,0.0,82.0,0.0,-40.0,19.0,26.0,123.0,96.0,3.0
55.0,0.0,98.0,0.0,52.0,3.0,42.0,46.0,4.0,3.0
55.0,0.0,78.0,0.0,2.0,-29.0,23.0,75.0,52.0,3.0
43.0,-34.0,91.0,0.0,2.0,0.0,48.0,88.0,40.0,2.0
56.0,0.0,76.0,-7.0,-4.0,-5.0,20.0,81.0,62.0,3.0
120.0,4692.0,76.0,5.0,36.0,6.0,-43.0,40.0,84.0,4.0
56.0,0.0,78.0,0.0,16.0,-1.0,22.0,63.0,40.0,3.0
56.0,1.0,98.0,0.0,42.0,1.0,42.0,57.0,14.0,3.0
55.0,0.0,98.0,0.0,52.0,-1.0,42.0,46.0,4.0,3.0
57.0,154.0,80.0,0.0,34.0,0.0,23.0,46.0,24.0,3.0
55.0,0.0,95.0,0.0,50.0,-25.0,40.0,46.0,6.0,3.0
55.0,0.0,77.0,0.0,-28.0,6.0,22.0,106.0,84.0,3.0
56.0,0.0,95.0,0.0,44.0,-8.0,40.0,51.0,12.0,3.0
44.0,-40.0,77.0,0.0,-2.0,0.0,33.0,79.0,46.0,2.0
55.0,0.0,77.0,-1.0,24.0,-3.0,21.0,54.0,32.0,3.0
56.0,0.0,77.0,4.0,0.0,0.0,22.0,77.0,56.0,3.0
55.0,0.0,79.0,0.0,6.0,10.0,23.0,74.0,50.0,3.0
55.0,0.0,77.0,0.0,12.0,5.0,21.0,64.0,42.0,3.0
56.0,1.0,98.0,0.0,42.0,4.0,42.0,57.0,14.0,3.0
55.0,0.0,97.0,0.0,44.0,-2.0,41.0,53.0,12.0,3.0
56.0,0.0,92.0,0.0,50.0,31.0,36.0,43.0,6.0,3.0
56.0,0.0,76.0,0.0,-4.0,557.0,20.0,81.0,62.0,3.0
69.0,-28.0,107.0,0.0,60.0,-8.0,38.0,47.0,10.0,2.0
56.0,1.0,99.0,5.0,46.0,0.0,42.0,52.0,10.0,3.0
56.0,0.0,97.0,0.0,52.0,-17.0,41.0,45.0,4.0,3.0
56.0,2.0,97.0,0.0,52.0,14.0,41.0,45.0,4.0,3.0
55.0,0.0,82.0,-7.0,-30.0,4.0,26.0,113.0,86.0,3.0
56.0,0.0,95.0,-2.0,42.0,-24.0,40.0,54.0,14.0,3.0
56.0,0.0,97.0,0.0,52.0,21.0,41.0,46.0,4.0,3.0
55.0,-1.0,98.0,0.0,42.0,-6.0,42.0,57.0,14.0,3.0
56.0,0.0,77.0,0.0,10.0,4.0,22.0,67.0,46.0,3.0
73.0,-45.0,88.0,-1.0,8.0,0.0,15.0,81.0,66.0,2.0
55.0,0.0,71.0,-10.0,0.0,0.0,16.0,71.0,56.0,3.0
55.0,0.0,97.0,0.0,44.0,-1.0,41.0,53.0,12.0,3.0
56.0,-2.0,97.0,0.0,46.0,12.0,41.0,51.0,10.0,3.0
55.0,0.0,95.0,-5.0,38.0,18.0,39.0,56.0,16.0,3.0
55.0,0.0,77.0,-7.0,-10.0,0.0,21.0,87.0,66.0,3.0
55.0,0.0,77.0,-4.0,10.0,7.0,22.0,67.0,46.0,3.0
55.0,0.0,82.0,7.0,-14.0,0.0,26.0,97.0,70.0,3.0
74.0,-42.0,107.0,0.0,62.0,-1.0,33.0,45.0,12.0,2.0
55.0,0.0,92.0,-4.0,0.0,6.0,36.0,92.0,56.0,3.0
56.0,2.0,99.0,0.0,46.0,0.0,42.0,52.0,10.0,3.0
55.0,-9.0,91.0,0.0,2.0,0.0,36.0,88.0,52.0,3.0
56.0,0.0,77.0,0.0,0.0,0.0,21.0,77.0,56.0,3.0
55.0,0.0,77.0,0.0,-4.0,-14.0,21.0,82.0,60.0,3.0
55.0,-4.0,93.0,0.0,46.0,0.0,37.0,46.0,8.0,3.0
55.0,0.0,78.0,0.0,6.0,-17.0,23.0,73.0,50.0,3.0
56.0,0.0,76.0,0.0,-12.0,-20.0,20.0,89.0,68.0,3.0
55.0,0.0,82.0,7.0,-14.0,2.0,26.0,97.0,70.0,3.0
55.0,0.0,82.0,-1.0,-24.0,0.0,26.0,108.0,82.0,3.0
56.0,0.0,79.0,0.0,16.0,2.0,23.0,63.0,40.0,3.0
55.0,0.0,77.0,2.0,0.0,0.0,22.0,77.0,56.0,3.0
55.0,0.0,77.0,0.0,18.0,-23.0,22.0,59.0,38.0,3.0
50.0,24.0,77.0,0.0,-22.0,0.0,27.0,101.0,74.0,1.0
55.0,0.0,79.0,0.0,12.0,27.0,23.0,66.0,42.0,3.0
55.0,0.0,95.0,-1.0,52.0,21.0,40.0,44.0,4.0,3.0
56.0,0.0,91.0,0.0,2.0,3.0,35.0,88.0,54.0,3.0
56.0,-1.0,97.0,0.0,50.0,2.0,41.0,48.0,6.0,3.0
56.0,2.0,81.0,3.0,-4.0,13.0,25.0,86.0,62.0,3.0
56.0,0.0,98.0,0.0,42.0,-6.0,42.0,57.0,14.0,3.0
55.0,0.0,77.0,0.0,-30.0,-10.0,22.0,108.0,86.0,3.0
55.0,0.0,96.0,0.0,42.0,16.0,41.0,55.0,14.0,3.0
56.0,0.0,76.0,0.0,-4.0,-1.0,20.0,81.0,62.0,3.0
56.0,0.0,92.0,2.0,-2.0,0.0,36.0,94.0,58.0,3.0
55.0,0.0,79.0,-5.0,20.0,0.0,23.0,58.0,34.0,3.0
55.0,0.0,78.0,5.0,26.0,0.0,23.0,52.0,30.0,3.0
55.0,3.0,72.0,6.0,0.0,0.0,16.0,72.0,56.0,3.0
55.0,0.0,77.0,-4.0,10.0,12.0,22.0,67.0,46.0,3.0
56.0,0.0,96.0,-4.0,50.0,-2.0,40.0,47.0,6.0,3.0
55.0,0.0,78.0,-6.0,18.0,-1.0,23.0,60.0,38.0,3.0
55.0,-1.0,79.0,-6.0,20.0,-10.0,23.0,58.0,34.0,3.0
55.0,0.0,95.0,3.0,38.0,15.0,40.0,57.0,16.0,3.0
56.0,0.0,76.0,-4.0,-4.0,0.0,20.0,81.0,62.0,3.0
55.0,0.0,77.0,0.0,18.0,17.0,22.0,59.0,38.0,3.0
56.0,0.0,99.0,0.0,38.0,0.0,43.0,60.0,18.0,3.0
55.0,0.0,96.0,-1.0,38.0,-2.0,41.0,57.0,16.0,3.0
55.0,0.0,83.0,0.0,-28.0,-2.0,27.0,111.0,84.0,3.0
56.0,0.0,81.0,0.0,-6.0,-14.0,25.0,88.0,64.0,3.0
56.0,0.0,96.0,1.0,44.0,0.0,40.0,52.0,12.0,3.0
55.0,0.0,96.0,0.0,38.0,-8.0,41.0,57.0,16.0,3.0
55.0,0.0,98.0,0.0,50.0,-17.0,42.0,49.0,6.0,3.0
55.0,0.0,82.0,1.0,-18.0,-5.0,26.0,100.0,74.0,3.0
56.0,4.0,98.0,6.0,46.0,-16.0,42.0,51.0,10.0,3.0
56.0,1.0,77.0,0.0,16.0,-1.0,22.0,62.0,40.0,3.0
55.0,0.0,79.0,0.0,10.0,10.0,23.0,68.0,46.0,3.0
55.0,0.0,96.0,3.0,42.0,0.0,41.0,55.0,14.0,3.0
55.0,0.0,82.0,0.0,-40.0,-1.0,26.0,123.0,96.0,3.0
56.0,0.0,77.0,-1.0,44.0,0.0,22.0,34.0,12.0,3.0
55.0,0.0,79.0,0.0,-4.0,0.0,24.0,85.0,60.0,3.0
55.0,0.0,82.0,0.0,-36.0,6.0,26.0,118.0,92.0,3.0
56.0,0.0,95.0,0.0,44.0,23.0,40.0,51.0,12.0,3.0
56.0,0.0,97.0,0.0,42.0,-12.0,41.0,55.0,14.0,3.0
56.0,-1.0,79.0,-3.0,-22.0,15.0,24.0,103.0,80.0,3.0
56.0,0.0,78.0,0.0,10.0,5.0,22.0,68.0,46.0,3.0
56.0,4.0,98.0,-7.0,42.0,0.0,42.0,57.0,14.0,3.0
55.0,0.0,81.0,0.0,-10.0,-4.0,25.0,91.0,66.0,3.0
56.0,0.0,96.0,0.0,42.0,-27.0,40.0,55.0,14.0,3.0
56.0,0.0,95.0,0.0,46.0,30.0,40.0,49.0,10.0,3.0
55.0,0.0,92.0,-3.0,-4.0,0.0,36.0,97.0,60.0,3.0
55.0,0.0,96.0,-3.0,42.0,-5.0,41.0,55.0,14.0,3.0
56.0,0.0,77.0,0.0,0.0,3.0,21.0,77.0,56.0,3.0
55.0,-5.0,81.0,0.0,-6.0,0.0,25.0,88.0,64.0,3.0
55.0,0.0,76.0,0.0,-14.0,13.0,21.0,92.0,70.0,3.0
55.0,0.0,77.0,-1.0,-22.0,0.0,21.0,100.0,78.0,3.0
55.0,0.0,96.0,1.0,42.0,-6.0,41.0,55.0,14.0,3.0
55.0,1.0,73.0,-10.0,-2.0,9.0,18.0,76.0,58.0,3.0
56.0,4.0,77.0,6.0,16.0,0.0,22.0,62.0,40.0,3.0
56.0,3.0,97.0,0.0,42.0,-20.0,41.0,56.0,14.0,3.0
56.0,0.0,97.0,0.0,52.0,7.0,41.0,45.0,4.0,3.0
56.0,1.0,81.0,0.0,-6.0,-12.0,25.0,88.0,64.0,3.0
55.0,0.0,95.0,0.0,50.0,-7.0,40.0,46.0,6.0,3.0
56.0,3.0,80.0,-3.0,-4.0,20.0,24.0,85.0,62.0,3.0
55.0,-1.0,98.0,2.0,50.0,0.0,42.0,49.0,6.0,3.0
55.0,0.0,92.0,0.0,-2.0,-1.0,36.0,94.0,58.0,3.0
56.0,0.0,79.0,0.0,12.0,-5.0,23.0,66.0,42.0,3.0
55.0,0.0,97.0,1.0,46.0,-8.0,41.0,50.0,8.0,3.0
56.0,0.0,77.0,1.0,-4.0,-10.0,21.0,82.0,62.0,3.0
55.0,-3.0,81.0,0.0,-4.0,0.0,25.0,86.0,60.0,3.0
40.0,28.0,77.0,0.0,-22.0,0.0,38.0,101.0,64.0,1.0
55.0,0.0,77.0,0.0,-20.0,6.0,21.0,97.0,76.0,3.0
55.0,0.0,78.0,2.0,10.0,5.0,23.0,68.0,46.0,3.0
56.0,4.0,96.0,0.0,38.0,-8.0,40.0,57.0,18.0,3.0
56.0,4.0,96.0,-3.0,52.0,0.0,40.0,44.0,4.0,3.0
55.0,-1.0,79.0,-4.0,20.0,-12.0,24.0,59.0,34.0,3.0
55.0,-3.0,78.0,2.0,24.0,0.0,23.0,55.0,32.0,3.0
55.0,0.0,96.0,0.0,52.0,16.0,41.0,44.0,4.0,3.0
56.0,0.0,77.0,0.0,44.0,-6.0,22.0,34.0,12.0,3.0
55.0,0.0,93.0,0.0,0.0,-15.0,38.0,93.0,56.0,3.0
56.0,0.0,96.0,-2.0,50.0,-4.0,40.0,47.0,6.0,3.0
56.0,0.0,76.0,0.0,-2.0,8.0,20.0,79.0,58.0,3.0
56.0,0.0,81.0,0.0,-6.0,13.0,25.0,88.0,64.0,3.0
71.0,-51.0,88.0,0.0,8.0,0.0,17.0,81.0,64.0,2.0
56.0,0.0,78.0,3.0,44.0,0.0,22.0,34.0,12.0,3.0
56.0,0.0,96.0,1.0,36.0,20.0,40.0,60.0,20.0,3.0
55.0,1.0,77.0,0.0,30.0,-14.0,22.0,46.0,24.0,3.0
55.0,0.0,95.0,0.0,50.0,-20.0,40.0,46.0,6.0,3.0
56.0,0.0,95.0,-1.0,44.0,-9.0,40.0,51.0,12.0,3.0
55.0,0.0,95.0,0.0,50.0,0.0,39.0,46.0,6.0,3.0
37.0,-91.0,80.0,0.0,34.0,0.0,43.0,46.0,2.0,2.0
56.0,-1.0,97.0,0.0,52.0,0.0,41.0,45.0,4.0,3.0
56.0,0.0,97.0,0.0,50.0,-23.0,41.0,48.0,6.0,3.0
55.0,0.0,96.0,0.0,52.0,-3.0,41.0,44.0,4.0,3.0
56.0,0.0,91.0,0.0,0.0,-19.0,35.0,91.0,56.0,3.0
56.0,0.0,91.0,0.0,-4.0,-5.0,35.0,96.0,62.0,3.0
55.0,0.0,77.0,4.0,30.0,17.0,22.0,46.0,24.0,3.0
56.0,0.0,92.0,0.0,-2.0,0.0,36.0,95.0,58.0,3.0
56.0,0.0,81.0,0.0,-14.0,29.0,25.0,97.0,72.0,3.0
55.0,0.0,79.0,-2.0,20.0,-2.0,24.0,59.0,34.0,3.0
